name,subcategory,brand
Clothing,Men's T-Shirts,Nike
Clothing,Men's T-Shirts,Adidas
Clothing,Men's T-Shirts,Puma
Clothing,Men's Shirts,Van Heusen
Clothing,Men's Shirts,Arrow
Clothing,Men's Shirts,Peter England
Clothing,Men's Jeans,Levi's
Clothing,Men's Jeans,Wrangler
Clothing,Men's Jeans,Pepe Jeans
Clothing,Men's Trousers,Allen Solly
Clothing,Men's Trousers,Blackberrys
Clothing,Men's Formal Wear,Raymond
Clothing,Men's Formal Wear,Blackberrys
Clothing,Women's Tops,Zara
Clothing,Women's Tops,H&M
Clothing,Women's Dresses,Forever 21
Clothing,Women's Dresses,Max
Clothing,Women's Jeans,Levi's
Clothing,Women's Jeans,Pepe Jeans
Clothing,Women's Skirts,Zara
Clothing,Women's Skirts,H&M
Clothing,Women's Ethnic Wear,Fabindia
Clothing,Women's Ethnic Wear,Biba
Clothing,Women's Sarees,Manyavar
Clothing,Women's Sarees,Biba
Footwear,Men's Sneakers,Nike
Footwear,Men's Sneakers,Adidas
Footwear,Men's Sneakers,Puma
Footwear,Men's Formal Shoes,Bata
Footwear,Men's Formal Shoes,Red Tape
Footwear,Men's Casual Shoes,Woodland
Footwear,Men's Sandals,Paragon
Footwear,Women's Sneakers,Nike
Footwear,Women's Sneakers,Adidas
Footwear,Women's Heels,Metro
Footwear,Women's Heels,Red Tape
Footwear,Women's Flats,Bata
Footwear,Women's Sandals,Paragon
Accessories,Men's Watches,Titan
Accessories,Men's Watches,Fastrack
Accessories,Men's Belts,Allen Solly
Accessories,Men's Belts,Van Heusen
Accessories,Men's Wallets,Wildcraft
Accessories,Women's Handbags,Caprese
Accessories,Women's Handbags,Allen Solly
Accessories,Women's Jewelry,Tanishq
Accessories,Women's Jewelry,PC Jeweller
Accessories,Women's Scarves,Zara
Accessories,Women's Sunglasses,Ray-Ban
Accessories,Women's Sunglasses,Tom Ford

